8901030535093,Kissan Mixed Fruit Jam 700gm,Hindustan Unilever Limited,Number,185,20079990,12,6,6,,Price changed from 175 but Barcode number didn't,
8906002482481,Snickers Chocolate 25gm,Mars International India,Number,20,1806,28,,,,,Arnav
8906002482450,Snickers Chocolate 50gm,Mars International India,Number,40,1806,28,,,,,Arnav
6221134001068,Galaxy Smooth Milk Chocolate 40gm,Mars International India,Number,40,1806,28,,,,,Arnav
6221134001129,Galaxy Smooth Fruit & Nut Chocolate 40gm,Mars International India,Number,40,1806,28,,,,,Arnav
5000159407236,Mars Chocolate 51g,Mars International India,Number,40,1806,28,,,,,Arnav
8901058144345,NESTLE KIT KAT 27.5Gm,Nestle India Limited,Number,20,,,,,,,
8901058842272,NESTLE KIT KAT Duo Coffee Flavour 12.5Gm,Nestle India Limited,Number,10,,,,,,,
89006511,Nestle Classic Milk Chocolate 18g,Nestle India Limited,Number,10,1806,28,,,,,Arnav
8901393016543,Smint Strawberry Flavour 6.4g,Perfetti Van Melle India Pvt Ltd,Number,40,,,,,,,
8901393002850,Happydent Complete Sugarfree Chewing Gum 27.5gm,Perfetti Van Melle India Pvt Ltd,Number,40,,,,,,,
8901393010138,Center Fresh 15g,Perfetti Van Melle India Pvt Ltd,Number,5,,,,,,,
8901233024097,Perk Double Rip 28g,Mars International India,Number,10,,,,,,,
8901233022291,Cadbury 5Star Crunchy Chocolate 34g,Mondelez India Foods Pvt Ltd,Number,25,1806,28,,,,,Arnav
8901233021201,Cadbury Dairy Milk Chocolate 54g,Mondelez India Foods Pvt Ltd,Number,40,1806,28,,,,,Arnav
8901233025575,Cadbury Dairy Milk Joy Box 125g,Mars International India,Number,99,,,,,,,
8901233023694,Cadbury Fuse 45g,Mars International India,Number,35,,,,,,,
8901030424458,Pepsodent Gum Expert Toothbrush Soft,Hindustan Unilever Limited,Number,50,,,,,,,
8901030576706,Pepsodent Gum Expert Toothbrush Soft 4X Gentler,Hindustan Unilever Limited,Number,55,,,,,,,
1111111111111,Rice-1 kg,Local,Number,50,,,,,,,
1111111111112,Wheat-1 Kg,Local,Number,35,,,,,,,
8901233018706,Cadbury Dairy Milk Crackle 38g,Mars International India,Number,40,,,,,,,
8901233018720,Cadbury Dairy Milk Roast Almonds 38g,Mars International India,Number,45,,,,,,,
8901233025087,Cadbury Dairy Milk Fruit & Nut 38g,Mars International India,Number,45,,,,,,,
8901233025537,Cadbury Dairy Milk Cashew & Coconut 38g,Mars International India,Number,45,,,,,,,
8901233025551,Cadbury Dairy Milk Butterscotch Crunch 38g,Mars International India,Number,45,,,,,,,
8901233022222,Cadbury Dairy Milk Fruit & Nut 80g,Mars International India,Number,89,,,,,,,
8901233022659,Cadbury Dairy Milk Marvellous Creations Jelly Popping Candy 35g,Mars International India,Number,39,,,,,,,
8901233022727,Cadbury Dairy Milk Marvellous Creations Cookie Nut Crunch 75g,Mars International India,Number,80,,,,,,,
8901233022635,Cadbury Dairy Milk Marvellous Creations Jelly Popping Candy 75g,Mars International India,Number,80,,,,,,,
8901233021584,Cadbury Temptations Rum Raisins 72g,Mars International India,Number,89,,,,,,,
8901233021621,Cadbury Temptations Almond Treat 72g,Mars International India,Number,89,,,,,,,
8906079010471,Luvit Cocoisms 8N*6=48g,Global Consumer Products Private Limited,Number,110,,,,,,,
8901233022994,Cadbury Dairy Milk Silk Oreo 60g,Mars International India,Number,75,,,,,,,
8901233022062,Cadbury Dairy Milk Silk Caramel 60g,Mars International India,Number,75,,,,,,,
8901233021836,Cadbury Dairy Milk Silk Roast Almond 55g,Mars International India,Number,65,,,,,,,
8901233021829,Cadbury Dairy Milk Silk Fruit & Nut 55g,Mars International India,Number,65,,,,,,,
8901233022086,Cadbury Dairy Milk Silk Bubbly 50g,Mars International India,Number,75,,,,,,,
8901233021942,Cadbury Dairy Milk Silk Chocolate 60g,Mondelez India Foods Pvt Ltd,Number,65,1806,28,,,,,Arnav
8901233021645,Cadbury Bournville Rich Cocoa 50% Dark 31g,Mars International India,Number,45,,,,,,,
8901233023014,Cadbury Dairy Milk Silk Oreo 130g,Mars International India,Number,170,,,,,,,
8901233022079,Cadbury Dairy Milk Silk Caramel 136g,Mars International India,Number,170,,,,,,,
